"Platform Registration ID","Account: Account ID","Login Number","Server Name","Account Type","Client Group Name","Status","Currency","Leverage","Swap Free"
"a0A9N00000E4b85","0019N000005hKUp","39197918","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000E832x","0019N000005hKUp","39198189","PTGlobalKapitalInv-MT5-Live","Premium Zero","real\GKB\Premium-Zero-Variable","Read-Only","USD","200","Tidak"
"a0A9N00000EXl4S","0019N0000063nhU","39040963","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXl6n","0019N0000064Sog","38861016","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXl7K","0019N0000063nxU","39149285","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXlD2","0019N0000063nwl","39199079","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXlFw","0019N0000063o44","39096227","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXlPf","0019N0000063oGv","39148748","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeB","Enabled","USD","400","Ya"
"a0A9N00000EXlRU","0019N0000064Wef","39097548","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree30D-SO80","Enabled","USD","400","Ya"
"a0A9N00000EXlSB","0019N0000063oM8","39153010","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXlSa","0019N0000063oKp","38759293","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXlXb","0019N0000064Tir","38942288","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXlag","0019N0000063oS5","39198765","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXlkM","0019N0000063oES","39198520","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EXlo0","0019N0000063oJK","38762080","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
